MeetID,Name,Gender,Equipment,Uses Equipment,Division,Bodyweight (Kg),WeightClass (Kg),BestSquat (Kg),BestBench (Kg),BestDeadlift (Kg),Total (Kg),Place,Wilks
5029,Alyssa Furukawa,F,Raw,N,Amateur Open,65.95,C67.5,,34.02,113.4,147.42,1,153.01
3539,Amund Tjellaug Løvstad,M,Raw,N,Open,92.35,C93,217.5,155,277.5,650,1,409.69
6685,Andrew Cargill,M,Raw,N,R-O,119.5,C120,210,165,250,625,3,359.68
243,Andrew Morkin,M,Raw,N,M1-R,137.5,C140,,,227.5,227.5,1,127.48
6564,Anita Jones,F,Raw,N,R-M2b,54.3,C56,52.5,40,95,187.5,1,226.01
1215,Anne Beaumaster,F,Raw,N,Master 2,56.1,C57,77.5,37.5,102.5,217.5,1,255.55
3350,Anne Sofie Skjerlie,F,Raw,N,Master 50-59,70.53,C72,80,60,115,255,1,252.38
1430,Anni Vuohijoki,F,Raw,N,,62.75,C63,142.5,90,172.5,405,4,436.27
5084,Anthony Gregorio,M,Raw,N,Amateur Open,73.75,C75,149.69,86.18,185.97,421.84,1,304.17
8367,Anthony Rodriguez,M,Raw,N,Open,98.4,C100,242.5,155,350,747.5,1,457.92
8105,Arianna Aguilar,F,Raw,N,Junior 13-15,45.3,C48,57.5,35,67.5,160,1,220.87
3456,Arve Otto Nundal,M,Raw,N,Master 60-69,89.9,C93,,125,,125,1,79.84
5128,Ashlan Musante,F,Raw,N,Amateur Open,66.13,C67.5,,56.7,120.2,176.9,1,183.25
6904,Ashley Akehurst,F,Raw,N,R-OMW,63,C63,107.5,65,162.5,335,2,359.78
6537,Ashley Zamudio,F,Raw,N,R-T2,53.3,C56,80,40,75,195,1,238.48
3565,Børre Storjord,M,Raw,N,Master 50-59,82.65,C83,,125,,125,2,83.65
8065,Bailey Harmon,F,Raw,N,Junior 20-23,55.8,C56,115,65,132.5,312.5,1,368.72
6572,Barbara Garmon,F,Raw,N,R-O,69.7,C72,,35,67.5,102.5,4,102.27
6588,Barrett Marum,M,Raw,N,R-O,114.8,C120,245,187.5,272.5,705,2,409.83
7319,Benjamin Clewien,M,Raw,N,R-O,102.9,C110,240,175,255,670,1,403.29
7326,Betina Chaon,F,Raw,N,R-O,65.8,C72,100,45,132.5,277.5,3,288.51
7021,Betty Van,F,Raw,N,R-JR,51.5,C52,100,47.5,125,272.5,6,342.25
6847,Blake Piesto,M,Raw,N,R-O,59,C59,120,92.5,185,397.5,1,344.3
969,Brandon Bateman,M,Raw,N,Junior,102.2,C105,,130,,130,1,78.45
7254,Brandon Morales,M,Raw,N,R-JR,94.1,C105,205,130,250,585,3,365.47
7709,Brandt Selvig,M,Raw,N,Junior Men 20-23,66.77,C67.5,130,90,150,370,3,287.79
7846,Brian Burritt Jr,M,Raw,N,Junior 18-19,89.99,C90,,147.5,227.5,375,1,239.41
983,Brian Hanna,M,Raw,N,Junior,87.2,C93,137.5,85,200,422.5,2,274.23
8278,Brian Quinones,M,Raw,N,Junior 20-23,86.4,C90,152.5,112.5,210,475,1,309.87
7897,Bryan Williams,M,Raw,N,Open,103.6,C110,,,275,275,1,165.118
7027,Bryce Paszkiewicz,M,Raw,N,R-C,62.8,C66,155,95,217.5,467.5,14,382.84
4819,Caisha Tanis,F,Raw,N,,67.67,C72,,65,,65,1,66.22
8208,Caitlyn Rudish,F,Raw,N,Open,59.8,C60,117.5,77.5,130,325,1,363.28
7247,Callum Hurst,M,Raw,N,R-JR,58.1,C59,187.5,102.5,197.5,487.5,1,428.38
3500,Camilla Vik Nygård,F,Raw,N,Teen 14-18,54.2,C57,100,60,110,270,1,325.92
1077,Carl Majdalani,M,Raw,N,Junior,90.8,C93,187.5,110,267.5,565,2,359.09
8034,Carrie Kelsey,F,Raw,N,Open Women,67.1,C67.5,120,62.5,145,327.5,3,335.68
6661,Casey Lorenzen,F,Raw,N,R-O,67.6,C72,82.5,47.5,105,235,2,239.59
6750,Chad Lowe,M,Raw,N,R-O,91.7,C93,172.5,122.5,217.5,512.5,3,324.14
8307,Chandler Borda,M,Raw,N,Open,97.7,C100,250,185,260,695,1,427.04
7926,Chris Dunn,M,Raw,N,Open,89.8,C90,,,320,320,1,204.518
6968,Chris Walter,M,Raw,N,R-M,92.1,C93,,202.5,,202.5,1,127.8
7000,Chris Williams,M,Raw,N,Masters 45-49,101.9,C105,182.5,162.5,250,595,4,359.46
8459,Christian Raidel,M,Raw,N,Open,120.6,C125,,227.5,,227.5,5,130.64
8287,Christina Sisk,F,Raw,N,Open,67.3,C67.5,130,77.5,145,352.5,13,360.54
6585,Christina Tong,F,Raw,N,R-JR,60.9,C63,97.5,65,130,292.5,1,322.37
894,Christine Campbell,F,Raw,N,Open,89.1,C84+,120,70,135,325,3,282.01
190,Christopher Chan,M,Raw,N,M-JR-U,72.2,C74,200,97.5,210,507.5,7,371.6
4579,Chyna Howlett,F,Raw,N,,51.5,C52,102.5,56.5,100,259,1,325.29
6521,Cinnamon Micelotta,F,Raw,N,R-O,90.5,C84+,50,35,100,185,1,159.49
6686,Clayton Fulbright,M,Raw,N,R-JR,91.9,C93,265,167.5,267.5,700,1,442.25
1286,Clotario Portugal,M,Raw,N,M 60-64,73.3,C75,,115,,115,1,83.28
1499,Colin Power,M,Raw,N,M-O,107.8,C120,250,170,285,705,1,417.54
8367,Collin Smith,M,Raw,N,Open,78.6,C82.5,175,135,212.5,522.5,3,360.76
1181,Cosmin Olteanu,M,Raw,N,Master 1,91.6,C93,229,125,230,584,2,369.56
4917,Courtney Childress,F,Raw,N,Amateur Teen 16-17,51.35,C52,63.5,45.36,106.59,215.46,1,271.22
924,Courtney Dill,F,Raw,N,Sub-Junior,68.4,C72,110,52.5,145,307.5,1,310.89
7154,Craig Owen,M,Raw,N,R-O,95.1,C105,210,137.5,232.5,580,2,360.6
6680,Damion Johnson,M,Raw,N,R-O,97.9,C100,192.5,155,247.5,595,6,365.28
5158,Dan Cerone,M,Raw,N,Amateur Open,81.83,C82.5,188.24,138.35,249.48,576.06,1,387.81
6564,Daniel Liebster,M,Raw,N,R-M1b,146.3,C125+,227.5,140,240,607.5,1,337.31
8358,Danielle Heckman,F,Raw,N,Open,66.1,C67.5,107.5,55,122.5,285,2,295.32
7028,Danielle Oliveri,F,Raw,N,R-O,62.61,C63,145,92.5,150,387.5,25,418.12
7651,David Andrews,M,Raw,N,Open Men,99.52,C100,172.5,117.5,202.5,492.5,6,300.311
7186,David Delrosso,M,Raw,N,R-JR,64.8,C66,125,67.5,185,377.5,2,300.96
7282,David Pennesi,M,Raw,N,R-O,80.5,C83,170,115,240,525,5,357.02
